,Rank,Site,System,Cores,RMax,RPeak,Power,Country
0,1,DOE/SC/Oak Ridge National LaboratoryUnited States,IBM,2282544.0,122300.0,187659.3,8806.0,United States
1,2,National Supercomputing Center in WuxiChina,NRCPC,10649600.0,93014.6,125435.9,15371.0,China
2,3,DOE/NNSA/LLNLUnited States,IBM,1572480.0,71610.0,119193.6,,United States
3,4,National Super Computer Center in GuangzhouChina,NUDT,4981760.0,61444.5,100678.7,18482.0,China
4,5,National Institute of Advanced Industrial Science and Technology (AIST)Japan,Fujitsu,391680.0,19880.0,32576.6,1649.0,Japan
5,6,Swiss National Supercomputing Centre (CSCS)Switzerland,CrayInc.,361760.0,19590.0,25326.3,2272.0,Switzerland
6,7,DOE/SC/Oak Ridge National LaboratoryUnited States,CrayInc.,560640.0,17590.0,27112.5,8209.0,United States
7,8,DOE/NNSA/LLNLUnited States,IBM,1572864.0,17173.2,20132.7,7890.0,United States
8,9,DOE/NNSA/LANL/SNLUnited States,CrayInc.,979968.0,14137.3,43902.6,3844.0,United States
9,10,DOE/SC/LBNL/NERSCUnited States,CrayInc.,622336.0,14014.7,27880.7,3939.0,United States
10,11,Korea Institute of Science and Technology InformationKorea South,CrayInc.,570020.0,13929.3,25705.9,,"Korea, South"
11,12,Joint Center for Advanced High Performance ComputingJapan,Fujitsu,556104.0,13554.6,24913.5,2719.0,Japan
12,13,Eni S.p.A.Italy,HPE,253600.0,12210.0,18621.1,1320.0,Italy
13,14,Commissariat a l'Energie Atomique (CEA)France,BullAtosGroup,561408.0,11965.5,23396.4,3178.0,France
14,15,Texas Advanced Computing Center/Univ. of TexasUnited States,DellEMC,367024.0,10680.7,18309.2,,United States
15,16,RIKEN Advanced Institute for Computational Science (AICS)Japan,Fujitsu,705024.0,10510.0,11280.4,12660.0,Japan
16,17,DOE/SC/Argonne National LaboratoryUnited States,IBM,786432.0,8586.6,10066.3,3945.0,United States
17,18,CINECAItaly,Lenovo,312936.0,8413.1,16212.9,,Italy
18,19,GSIC Center Tokyo Institute of TechnologyJapan,HPE,135828.0,8125.0,12127.1,792.0,Japan
19,20,United Kingdom Meteorological OfficeUnited Kingdom,CrayInc.,241920.0,7038.9,8128.5,,United Kingdom
20,21,DOE/SC/Argonne National LaboratoryUnited States,CrayInc.,280320.0,6920.9,11661.3,,United States
21,22,Barcelona Supercomputing CenterSpain,Lenovo,153216.0,6470.8,10296.1,1632.0,Spain
22,23,Forschungszentrum Juelich (FZJ)Germany,BullAtosGroup,114480.0,6177.7,9891.1,1361.0,Germany
23,24,NASA/Ames Research Center/NASUnited States,HPE,241108.0,5951.6,7107.1,4407.0,United States
24,25,Japan Meteorological AgencyJapan,CrayInc./Hitachi,135792.0,5730.5,9125.2,1354.0,Japan
25,26,Japan Meteorological AgencyJapan,CrayInc./Hitachi,135792.0,5730.5,9125.2,1354.0,Japan
26,27,HLRS - Höchstleistungsrechenzentrum StuttgartGermany,CrayInc.,185088.0,5640.2,7403.5,3615.0,Germany
27,28,Max-Planck-Gesellschaft MPI/IPPGermany,Intel,127520.0,5612.8,9793.5,1635.0,Germany
28,29,King Abdullah University of Science and TechnologySaudi Arabia,CrayInc.,196608.0,5537.0,7235.2,2834.0,Saudi Arabia
29,30,Total Exploration ProductionFrance,HPE,220800.0,5283.1,6712.3,4150.0,France
30,31,National Center for Atmospheric Research (NCAR)United States,HPE,144900.0,4788.2,5332.3,1727.0,United States
31,32,Research Institute for Information Technology Kyushu UniversityJapan,Fujitsu,72000.0,4540.7,6912.0,,Japan
32,33,DOE/NNSA/LLNLUnited States,IBM,393216.0,4293.3,5033.2,1972.0,United States
33,34,CEA/TGCC-GENCIFrance,BullAtosGroup,79488.0,4065.6,6635.5,917.0,France
34,35,Petroleum Geo-ServicesUnited States,CrayInc.,145920.0,4042.5,5369.9,1800.0,United States
35,36,ECMWFUnited Kingdom,CrayInc.,126468.0,3944.7,4249.3,1897.0,United Kingdom
36,37,ECMWFUnited Kingdom,CrayInc.,126468.0,3944.7,4249.3,1897.0,United Kingdom
37,38,Forschungszentrum Juelich (FZJ)Germany,T-PlatformsIntelDell,155150.0,3782.6,6563.8,1345.0,Germany
38,39,Indian Institute of Tropical MeteorologyIndia,CrayInc.,119232.0,3763.9,4006.2,1353.0,India
39,40,GovernmentUnited States,CrayInc.,72800.0,3577.0,6131.8,1499.0,United States
40,41,GovernmentUnited States,CrayInc.,72800.0,3577.0,6131.8,1499.0,United States
41,42,ERDC DSRCUnited States,CrayInc.,160304.0,3409.6,5865.5,,United States
42,43,NASA/Ames Research Center/NASUnited States,HPE,78336.0,3328.6,4777.6,980.0,United States
43,44,ERDC DSRCUnited States,HPE,124200.0,3318.9,4570.6,5175.0,United States
44,45,FacebookUnited States,Self-made,60512.0,3307.0,4896.5,350.0,United States
45,46,NVIDIA CorporationUnited States,Nvidia,60512.0,3307.0,4896.5,350.0,United States
46,47,AWEUnited Kingdom,BullAtosGroup,113832.0,3243.4,3791.6,1134.0,United Kingdom
47,48,Air Force Research LaboratoryUnited States,HPE,55296.0,3221.4,4777.6,,United States
48,49,Eni S.p.A.Italy,IBM,72000.0,3188.0,4605.0,1227.0,Italy
49,50,Japan Aerospace eXploration AgencyJapan,Fujitsu,110160.0,3157.0,3481.1,1652.0,Japan
50,51,GovernmentUnited States,CrayInc.,225984.0,3143.5,4881.3,6328.0,United States
51,52,Air Force Research LaboratoryUnited States,HPE,152692.0,3126.2,5610.5,4820.0,United States
52,53,SciNet/University of Toronto/Compute CanadaCanada,Lenovo,60000.0,3074.2,4608.0,676.0,Canada
53,54,Academic Center for Computing and Media Studies (ACCMS)  Kyoto UniversityJapan,CrayInc.,122400.0,3057.3,5483.5,748.0,Japan
54,55,DKRZ - Deutsches KlimarechenzentrumGermany,BullAtosGroup,99072.0,3010.7,3962.9,1116.0,Germany
55,56,Information Technology Center Nagoya UniversityJapan,Fujitsu,92160.0,2910.0,3244.0,1382.0,Japan
56,57,Leibniz RechenzentrumGermany,IBM/Lenovo,147456.0,2897.0,3185.1,3423.0,Germany
57,58,Leibniz RechenzentrumGermany,Lenovo/IBM,86016.0,2813.6,3578.3,1481.0,Germany
58,59,United Kingdom Meteorological OfficeUnited Kingdom,CrayInc.,89856.0,2801.8,3019.2,1348.0,United Kingdom
59,60,United Kingdom Meteorological OfficeUnited Kingdom,CrayInc.,89856.0,2801.8,3019.2,1348.0,United Kingdom
60,61,Rokkasho Fusion Institute National Institutes for Quantum and Radiological Science and TechnologyJapan,CrayInc.,54560.0,2787.1,4190.2,698.0,Japan
61,62,GSIC Center Tokyo Institute of TechnologyJapan,NEC/HPE,76032.0,2785.0,5735.7,1399.0,Japan
62,63,Lawrence Livermore National LaboratoryUnited States,PenguinComputingInc.,95472.0,2632.5,3207.9,13620.0,United States
63,64,Lawrence Livermore National LaboratoryUnited States,PenguinComputingInc.,95472.0,2632.5,3207.9,13620.0,United States
64,65,Energy Company (A)Italy,Lenovo,66000.0,2592.0,3798.6,,Italy
65,66,National Centre for Medium Range Weather ForecastingIndia,CrayInc.,83592.0,2570.4,2808.7,955.0,India
66,67,National Supercomputing Center in TianjinChina,NUDT,186368.0,2566.0,4701.0,4040.0,China
67,68,China Meteorological AdministrationChina,Sugon,50816.0,2547.0,4229.8,710.0,China
68,69,DOE/SC/Pacific Northwest National LaboratoryUnited States,AtipaTechnology,194616.0,2539.1,3388.0,1384.0,United States
69,70,Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES)France,BullAtosGroup,85824.0,2494.7,3570.3,1430.0,France
70,71,Army Research Laboratory DoD Supercomputing Resource Center (ARL DSRC)United States,CrayInc.,100064.0,2485.0,3682.4,1466.0,United States
71,72,Moscow State University - Research Computing CenterRussia,T-Platforms,64384.0,2478.0,4946.8,,Russia
72,73,US Army Research Laboratory (ARL)United States,HPE,73920.0,2443.7,2602.0,835.0,United States
73,74,China Meteorological AdministrationChina,Sugon,48128.0,2435.0,4004.2,740.0,China
74,75,Korea Meteorological AdministrationKorea South,CrayInc.,69600.0,2395.7,2895.4,1359.0,"Korea, South"
75,76,Korea Meteorological AdministrationKorea South,CrayInc.,69600.0,2395.7,2895.4,1359.0,"Korea, South"
76,77,National Institute for Fusion Science (NIFS)Japan,Fujitsu,82944.0,2376.0,2621.0,1244.0,Japan
77,78,Saudi AramcoSaudi Arabia,DellEMC,53300.0,2322.5,3581.8,608.0,Saudi Arabia
78,79,Internet Service PChina,Inspur,55104.0,2287.0,4890.0,,China
79,80,Saudi AramcoSaudi Arabia,DellEMC,76032.0,2249.7,3041.3,1134.0,Saudi Arabia
80,81,Meteo FranceFrance,BullAtosGroup,72000.0,2168.0,2534.4,830.0,France
81,82,Meteo FranceFrance,BullAtosGroup,73440.0,2157.4,2585.1,830.0,France
82,83,National Astronomical Observatory of JapanJapan,CrayInc.,40000.0,2090.0,3072.0,496.0,Japan
83,84,LvLiang Cloud Computing CenterChina,NUDT,174720.0,2071.4,3074.5,997.0,China
84,85,Navy DSRCUnited States,HPE,34560.0,2002.0,2986.0,,United States
85,86,Navy DSRCUnited States,HPE,34560.0,2002.0,2986.0,,United States
86,87,Universitaet MainzGermany,NEC/MEGWARE,49432.0,1967.8,2800.9,657.0,Germany
87,88,National Institutes of Health (NIH)United States,HPE,66304.0,1966.1,2491.4,,United States
88,89,Japan Atomic Energy Agency (JAEA)Japan,HPE,60240.0,1929.4,2409.6,3012.0,Japan
89,90,Commissariat a l'Energie Atomique (CEA)France,BullAtosGroup,70272.0,1871.0,2586.0,1042.0,France
90,91,Science and Technology Facilities CouncilUnited Kingdom,BullAtosGroup,80640.0,1829.9,4329.7,529.0,United Kingdom
91,92,KTH - Royal Institute of TechnologySweden,CrayInc.,67456.0,1802.5,2438.1,842.0,Sweden
92,93,Institute for Molecular ScienceJapan,NEC,38552.0,1785.6,3072.8,544.0,Japan
93,94,BASFGermany,HPE,35280.0,1750.2,2709.5,,Germany
94,95,Internet Service AChina,Inspur,38400.0,1729.0,3072.0,,China
95,96,Internet Service AChina,Inspur,38400.0,1729.0,3072.0,,China
96,97,Internet Service AChina,Inspur,38400.0,1729.0,3072.0,,China
97,98,CINECAItaly,Lenovo,54432.0,1723.9,2003.1,1361.0,Italy
98,99,Internet Service AChina,Inspur,39680.0,1714.0,3149.6,,China
99,100,GovernmentUnited States,HPE,57600.0,1703.3,2304.0,2880.0,United States
100,101,University of CambridgeUnited Kingdom,DellEMC,46464.0,1696.6,2875.0,480.0,United Kingdom
101,102,National Computational Infrastructure National Facility (NCI-NF)Australia,Fujitsu/Lenovo/Xenon,87224.0,1676.2,3801.4,,Australia
102,103,CyfronetPoland,HPE,55728.0,1670.1,2348.6,808.0,Poland
103,104,DOE/SC/LBNL/NERSCUnited States,CrayInc.,133824.0,1654.7,2569.4,3747.0,United States
104,105,Cloud ProviderAustralia,Lenovo,57600.0,1649.1,2119.7,,Australia
105,106,Hosting ServicesUnited States,Lenovo,57600.0,1649.1,2119.7,,United States
106,107,Hosting ServicesUnited States,Lenovo,57600.0,1649.1,2119.7,,United States
107,108,Hosting ServicesUnited States,Lenovo,57600.0,1649.1,2119.7,,United States
108,109,Hosting ServicesUnited States,Lenovo,57600.0,1649.1,2119.7,,United States
109,110,Hosting ServicesUnited States,Lenovo,57600.0,1649.1,2119.7,,United States
110,111,Hosting ServicesUnited States,Lenovo,57600.0,1649.1,2119.7,,United States
111,112,Hosting ServicesUnited States,Lenovo,57600.0,1649.1,2119.7,,United States
112,113,Hosting ServicesUnited States,Lenovo,57600.0,1649.1,2119.7,,United States
113,114,Hosting ServicesUnited States,Lenovo,57600.0,1649.1,2119.7,,United States
114,115,Hosting ServicesUnited States,Lenovo,57600.0,1649.1,2119.7,,United States
115,116,Hosting ServicesUnited States,Lenovo,57600.0,1649.1,2119.7,,United States
116,117,Hosting ServicesUnited States,Lenovo,57600.0,1649.1,2119.7,,United States
117,118,Hosting ServicesUnited States,Lenovo,57600.0,1649.1,2119.7,,United States
118,119,Hosting ServicesUnited States,Lenovo,57600.0,1649.1,2119.7,,United States
119,120,Hosting ServicesUnited States,Lenovo,57600.0,1649.1,2119.7,,United States
120,121,Hosting ServicesUnited States,Lenovo,57600.0,1649.1,2119.7,,United States
121,122,Software Company (M)Ireland,Lenovo,57600.0,1649.1,2119.7,,Ireland
122,123,Software Company (M)Netherlands,Lenovo,57600.0,1649.1,2119.7,,Netherlands
123,124,Software Company (M)Netherlands,Lenovo,57600.0,1649.1,2119.7,,Netherlands
124,125,Software Company (M)Ireland,Lenovo,57600.0,1649.1,2119.7,,Ireland
125,126,Software Company (M)Netherlands,Lenovo,57600.0,1649.1,2119.7,,Netherlands
126,127,Software Company (M)Netherlands,Lenovo,57600.0,1649.1,2119.7,,Netherlands
127,128,Software Company (M)Ireland,Lenovo,57600.0,1649.1,2119.7,,Ireland
128,129,Software Company (M)Netherlands,Lenovo,57600.0,1649.1,2119.7,,Netherlands
129,130,Software Company (M)Ireland,Lenovo,57600.0,1649.1,2119.7,,Ireland
130,131,EPSRC/University of EdinburghUnited Kingdom,CrayInc.,118080.0,1642.5,2550.5,3306.0,United Kingdom
131,132,NOAAUnited States,CrayInc.,48960.0,1635.0,2036.7,956.0,United States
132,133,NOAAUnited States,CrayInc.,48960.0,1635.0,2036.7,956.0,United States
133,134,Information Systems Division RIKENJapan,-PRIMERGYCX2550M4XeonGold614820C2.4GHzInfinibandEDR,,33600.0,1601.0,2580.5,Japan
134,135,IBM Development EngineeringUnited States,IBM,62944.0,1587.0,1931.6,3576.0,United States
135,136,Los Alamos National LaboratoryUnited States,PenguinComputingInc.,53352.0,1524.7,1792.6,603.0,United States
136,137,Internet Service AChina,Inspur,33000.0,1471.0,3000.0,,China
137,138,IntelUnited States,Intel,45680.0,1463.0,2507.3,431.0,United States
138,139,IT4Innovations National Supercomputing Center VSB-Technical University of OstravaCzech Republic,HPE,76896.0,1457.7,2011.6,4806.0,Czech Republic
139,140,Science and Technology Facilities Council - Daresbury LaboratoryUnited Kingdom,IBM,131072.0,1431.1,1677.7,657.0,United Kingdom
140,141,Air Force Research LaboratoryUnited States,HPE,73584.0,1415.5,1530.5,1606.0,United States
141,142,Swiss National Supercomputing Centre (CSCS)Switzerland,CrayInc.,44928.0,1410.7,1509.6,519.0,Switzerland
142,143,NTT Communications Tokyo No.4 Data CenterJapan,NTTCommunications/NTTPCCommunications,59392.0,1391.0,4917.7,,Japan
143,144,AtosFrance,BullAtosGroup,49896.0,1363.5,1676.5,543.0,France
144,145,CEA/TGCC-GENCIFrance,BullAtosGroup,77184.0,1359.0,1667.2,2132.0,France
145,146,Internet Service AChina,Inspur,31680.0,1352.0,2332.0,,China
146,147,Simon Fraser University/Compute CanadaCanada,DellEMC,59776.0,1337.0,3710.5,167.0,Canada
147,148,National Center for High Performance ComputingTaiwan,Fujitsu,27200.0,1325.2,2089.0,332.0,Taiwan
148,149,Service Provider TChina,Lenovo,30000.0,1319.5,2400.0,,China
149,150,Service Provider TChina,Lenovo,30000.0,1319.5,2400.0,,China
150,151,CEA/TGCC-GENCIFrance,BullAtosGroup,56304.0,1311.3,2339.6,326.0,France
151,152,GovernmentChina,Sugon,24400.0,1307.0,1950.4,300.0,China
152,153,Commissariat a l'Energie Atomique (CEA)/CCRTFrance,BullAtosGroup,38528.0,1299.5,1479.5,539.0,France
153,154,Navy DSRCUnited States,CrayInc.,61256.0,1285.6,2049.6,2324.0,United States
154,155,Navy DSRCUnited States,CrayInc.,61256.0,1285.6,2049.6,2324.0,United States
155,156,Max-Planck-Gesellschaft MPI/IPPGermany,Lenovo/IBM,65320.0,1283.3,1463.2,1260.0,Germany
156,157,Internet Service AChina,Inspur,66560.0,1276.0,2662.4,,China
157,158,National Supercomputing Centre in Shenzhen (NSCS)China,Sugon,120640.0,1271.0,2984.3,2580.0,China
158,159,Internet Service AChina,Inspur,65280.0,1271.0,2611.2,,China
159,160,Internet Service AChina,Inspur,64000.0,1269.0,2560.0,,China
160,161,Internet Service AChina,Inspur,64000.0,1269.0,2560.0,,China
161,162,National Center for Atmospheric Research (NCAR)United States,IBM,72288.0,1257.6,1503.6,1437.0,United States
162,163,CSC (Center for Scientific Computing)Finland,CrayInc.,40608.0,1250.0,1689.3,680.0,Finland
163,164,Internet Service (B)China,Sugon,72000.0,1242.0,2534.4,900.0,China
164,165,Computer Network Information Center Chinese Academy of ScienceChina,Sugon,22656.0,1238.0,1845.4,144.0,China
165,166,SharcNetCanada,HuaweiTechnologiesCo.Ltd.,51200.0,1228.0,2641.4,546.0,Canada
166,167,AtosFrance,BullAtosGroup,46800.0,1225.3,1647.4,472.0,France
167,168,Sandia National LaboratoriesUnited States,PenguinComputingInc.,40392.0,1223.7,1357.2,480.0,United States
168,169,Sandia National LaboratoriesUnited States,PenguinComputingInc.,40392.0,1223.7,1357.2,480.0,United States
169,170,Deutscher WetterdienstGermany,CrayInc.,41472.0,1214.2,1459.8,528.0,Germany
170,171,Center for Advanced Intelligence Project RIKENJapan,Fujitsu,35360.0,1213.0,3244.8,107.0,Japan
171,172,Main Computer Center of RoshydrometRussia,CrayInc./T-Platforms,35136.0,1200.3,1293.0,,Russia
172,173,University of CambridgeUnited Kingdom,DellEMC,21240.0,1193.0,1751.6,114.0,United Kingdom
173,174,Internet Service AChina,Inspur,28800.0,1188.0,2120.0,,China
174,175,Internet Service AChina,Inspur,28800.0,1188.0,2120.0,,China
175,176,Internet Service AChina,Inspur,24960.0,1182.0,2204.8,,China
176,177,Internet Service AChina,Inspur,24960.0,1182.0,2204.8,,China
177,178,Manufacturing CompanyUnited States,HPE,23808.0,1181.1,1980.8,,United States
178,179,Lawrence Livermore National LaboratoryUnited States,PenguinComputingInc.,39744.0,1179.6,1335.4,485.0,United States
179,180,University of Tokyo/Institute for Solid State PhysicsJapan,HPE,38016.0,1178.3,1520.6,581.0,Japan
180,181,Internet Service AChina,Inspur,12800.0,1171.0,2120.0,,China
181,182,Internet Service AChina,Inspur,12800.0,1171.0,2120.0,,China
182,183,ERDC DSRCUnited States,CrayInc.,150528.0,1167.0,1505.3,5569.0,United States
183,184,Internet CompanyChina,Inspur,26880.0,1161.0,2400.0,,China
184,185,Service Provider TChina,Lenovo,64320.0,1156.5,2367.0,,China
185,186,Internet Service AChina,Inspur,28800.0,1152.0,2544.0,,China
186,187,Service Provider TChina,Lenovo,78000.0,1149.6,2870.4,2438.0,China
187,188,Service Provider TChina,Lenovo,75776.0,1145.2,2546.1,,China
188,189,Los Alamos National LaboratoryUnited States,PenguinComputingInc.,39672.0,1144.8,1333.0,486.0,United States
189,190,Los Alamos National LaboratoryUnited States,PenguinComputingInc.,39672.0,1144.8,1333.0,486.0,United States
190,191,Sandia National LaboratoriesUnited States,PenguinComputingInc.,41256.0,1142.4,1156.8,480.0,United States
191,192,Internet Service AChina,Inspur,59520.0,1128.0,2380.8,,China
192,193,Internet Service AChina,Inspur,59520.0,1128.0,2380.8,,China
193,194,Internet Service AChina,Inspur,28800.0,1128.0,2120.0,,China
194,195,Internet Service AChina,Inspur,28800.0,1128.0,2120.0,,China
195,196,Internet Service AChina,Inspur,28800.0,1128.0,2120.0,,China
196,197,Service Provider TChina,Lenovo,62400.0,1127.5,2296.3,,China
197,198,Internet Service (B)China,Sugon,64800.0,1124.0,2281.0,1620.0,China
198,199,Cloud ProviderBrazil,Lenovo,38400.0,1123.2,1413.1,,Brazil
199,200,Cloud ProviderAustralia,Lenovo,38400.0,1123.2,1413.1,,Australia
200,201,Software CompanyKorea South,Lenovo,38400.0,1123.2,1413.1,,"Korea, South"
201,202,Software Company (M)United Kingdom,Lenovo,38400.0,1123.2,1413.1,,United Kingdom
202,203,Software Company (M)United Kingdom,Lenovo,38400.0,1123.2,1413.1,,United Kingdom
203,204,Software Company (M)United Kingdom,Lenovo,38400.0,1123.2,1413.1,,United Kingdom
204,205,Software Company (M)United Kingdom,Lenovo,38400.0,1123.2,1413.1,,United Kingdom
205,206,Software Company (M)India,Lenovo,38400.0,1123.2,1413.1,,India
206,207,NOAAUnited States,DellEMC/IBM-GBS,33600.0,1121.1,1397.8,,United States
207,208,NOAAUnited States,DellEMC/IBM-GBS,33600.0,1121.1,1397.8,,United States
208,209,Telecom CompanyChina,Sugon,66000.0,1121.0,2323.2,,China
209,210,Internet CompanyChina,Sugon,67200.0,1108.0,2257.9,1050.0,China
210,211,Internet Service AChina,Inspur,57600.0,1106.0,2304.0,,China
211,212,Internet Service AChina,Inspur,57600.0,1106.0,2304.0,,China
212,213,Energy Company (DD)United States,DellEMC,25920.0,1106.0,1748.4,3564.0,United States
213,214,Internet CompanyChina,Sugon,64000.0,1102.0,2252.8,960.0,China
214,215,Internet Company AChina,Lenovo,84000.0,1101.6,3360.0,2625.0,China
215,216,Internet Company AChina,Lenovo,84000.0,1101.6,3360.0,2625.0,China
216,217,Pawsey Supercomputing Centre Kensington Western AustraliaAustralia,CrayInc.,35712.0,1097.6,1485.6,698.0,Australia
217,218,SURFsaraNetherlands,BullAtosGroup,38880.0,1088.5,1327.1,706.0,Netherlands
218,219,Idaho National LaboratoryUnited States,HPE,34884.0,1087.6,1172.1,354.0,United States
219,220,IT Service ProviderUnited States,HPE,36288.0,1085.5,1509.6,,United States
220,221,Institute of Atmospheric Physics Chinese Academy of SciencesChina,Sugon,19264.0,1075.0,1602.8,344.0,China
221,222,CNRS/IDRIS-GENCIFrance,IBM,98304.0,1073.3,1258.3,493.0,France
222,223,University of EdinburghUnited Kingdom,IBM,98304.0,1073.3,1258.3,493.0,United Kingdom
223,224,Energy Company (D)United States,HPE,41600.0,1071.4,1730.6,,United States
224,225,Energy Company (D)United States,HPE,41600.0,1071.4,1730.6,,United States
225,226,DOE/SC/Argonne National LaboratoryUnited States,CrayInc.,46720.0,1070.6,1750.0,,United States
226,227,NVIDIA CorporationUnited States,Nvidia,22440.0,1070.0,1819.8,97.0,United States
227,228,Internet CompanyChina,Lenovo,63552.0,1064.3,2135.3,,China
228,229,AutomotiveUnited States,HPE,39744.0,1061.0,1462.6,,United States
229,230,Service Provider TChina,Lenovo,51840.0,1060.2,1824.8,,China
230,231,Service Provider TChina,Lenovo,56000.0,1057.1,2150.4,,China
231,232,Louisiana Optical Network InitiativeUnited States,DellEMC,23040.0,1052.0,1473.6,500.0,United States
232,233,US Army Research Laboratory (ARL)United States,HPE,33088.0,1050.5,1164.7,433.0,United States
233,234,Commissariat a l'Energie Atomique (CEA)France,BullAtosGroup,138368.0,1050.0,1254.5,4590.0,France
234,235,Internet Service AChina,Inspur,39520.0,1048.0,2014.0,,China
235,236,GovernmentChina,Sugon,51200.0,1044.0,2129.9,960.0,China
